ID,year,month,ngas_ft3,ngas_cost,pgas_ft3,oil_gal,makeup_wat_gal,makeup_wat_cost,avg_feedback_temp,electric_kwh,elec_cost,elec_cost_per_kwh,gen_steam_lb,gen_steam_no1_lb,gen_steam_no2_lb,gen_steam_no3_lb,gen_steam_no4_lb,boiler_efficiency,steam_cost_fuel_per_mlb,steam_cost_total_per_mlb,hdd,cdd,mean_outside_temp,fyear,ngas_per_dt,dt
25,8,9,11140000,117680.63,0,0,551600,5115.71,236,14480,890.65,0.06,8802390,0,641880,7825150,335360,75,14.05,16.61,29,130,68,FY 08/09,10.56,11140
109,15,9,9960000,48583.53,0,0,202700,2598.92,230,40800,3015.32,0.07,5843240,0,5843240,0,0,57,9.27,13.12,31,131,68,FY 15/16,4.88,9960
73,12,9,11070000,60430.91,0,0,349500,2717.69,230,18960,1357.71,0.07,7761890,0,1464910,6296980,0,69,8.31,11.21,41,104,67,FY 12/13,5.46,11070
69,12,5,8270000,43261.7,0,0,375800,2886.05,230,29200,1770.81,0.06,4511470,0,4279370,179280,52820,54,10.62,15.61,44,118,67,FY 11/12,5.23,8270
2,6,9,12070000,108233.63,0,0,648100,3702.24,232,32400,1809.96,0.06,8190350,0,3930860,3551580,707910,66,13.89,16.64,54,,66,,8.97,12070
45,10,5,8020000,47886.93,0,0,204700,1403.42,232,28320,1644.2,0.06,4682860,0,4522010,160850,0,55,10.88,15.68,56,90,66,FY 09/10,5.97,8020
105,15,5,10430000,48902.58,0,0,188700,2233.26,230,29680,1760.14,0.06,5837370,0,5120600,716770,0,54,9.06,12.91,59,86,66,FY 14/15,4.69,10430
9,7,5,7740000,73052.71,0,0,406700,3011.21,234,23680,1356.49,0.06,4964410,0,3006440,1580530,377440,62,15.6,20.13,67,49,64,,9.44,7740
33,9,5,10160000,53379.37,0,0,526400,3442.06,236,22960,1181.98,0.05,5772440,0,5700950,74490,0,55,10.05,13.94,71,47,64,FY 08/09,5.25,10160
93,14,5,11420000,71008.3,0,0,611700,3422.27,230,33800,2026.92,0.06,6009340,0,6009340,0,0,57,12.72,16.46,86,74,65,FY 13/14,6.22,11420
21,8,5,9720000,129937.46,0,0,485200,3425.17,236,18720,1060.56,0.06,6209850,0,3118690,3091160,0,62,21.65,25.27,113,53,63,FY 07/08,13.37,9720
57,11,5,8650000,56250.96,0,0,252100,2701.77,236,26080,1427.12,0.05,5379070,0,4536340,232550,610180,61,11.23,15.42,117,100,64,FY 10/11,6.5,8650
